Symbol,Name,Country,Sector,Industry,exchange
CDXS,Codexis Inc. Common Stock,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch,NDQ
CELH,Celsius Holdings Inc. Common Stock,United States,Consumer Non-Durables,Beverages (Production/Distribution),NDQ
CELU,Celularity Inc. Class A Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CENT,Central Garden & Pet Company Common Stock,United States,,,NDQ
CENTA,Central Garden & Pet Company Class A Common Stock Nonvoting,United States,,,NDQ
CENX,Century Aluminum Company Common Stock,United States,Basic Industries,Aluminum,NDQ
CERE,Cerevel Therapeutics Holdings Inc. Common Stock,United States,Consumer Durables,Specialty Chemicals,NDQ
CERN,Cerner Corporation Common Stock,United States,Health Care,Managed Health Care,NDQ
CERS,Cerus Corporation Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CERT,Certara Inc. Common Stock,United States,Consumer Durables,Specialty Chemicals,NDQ
CEVA,CEVA Inc. Common Stock,United States,Technology,Semiconductors,NDQ
CFB,CrossFirst Bankshares Inc. Common Stock,United States,Finance,Commercial Banks,NDQ
CFFE,CF Acquisition Corp. VIII Class A Common Stock,United States,,,NDQ
CFFN,Capitol Federal Financial Inc. Common Stock,United States,Finance,Savings Institutions,NDQ
CFIV,CF Acquisition Corp. IV Class A common stock,United States,,,NDQ
CFLT,Confluent Inc. Class A Common Stock,United States,Technology,EDP Services,NDQ
CFV,CF Acquisition Corp. V Class A Common Stock,United States,Finance,Business Services,NDQ
CFVI,CF Acquisition Corp. VI Class A Common Stock,United States,,,NDQ
CG,The Carlyle Group Inc. Common Stock,United States,Finance,Investment Managers,NDQ
CGBD,TCG BDC Inc. Common Stock,United States,Finance,Finance Companies,NDQ
CGC,Canopy Growth Corporation Common Shares,Canada,,,NDQ
CGEM,Cullinan Oncology Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CGEN,Compugen Ltd. Ordinary Shares,Israel,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NDQ
CGNT,Cognyte Software Ltd. Ordinary Shares,Israel,Technology,Computer Software: Prepackaged Software,NDQ
CGNX,Cognex Corporation Common Stock,United States,Capital Goods,Industrial Machinery/Components,NDQ
CHCO,City Holding Company Common Stock,United States,Finance,Major Banks,NDQ
CHDN,Churchill Downs Incorporated Common Stock,United States,Consumer Services,Services-Misc. Amusement & Recreation,NDQ
CHEF,The Chefs' Warehouse Inc. Common Stock,United States,Consumer Non-Durables,Food Distributors,NDQ
CHI,Calamos Convertible Opportunities and Income Fund Common Stock,United States,Finance,Investment Managers,NDQ
CHK,Chesapeake Energy Corporation Common Stock,United States,Energy,Oil & Gas Production,NDQ
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,Israel,Technology,Computer Software: Prepackaged Software,NDQ
CHNG,Change Healthcare Inc. Common Stock,United States,Health Care,Managed Health Care,NDQ
CHPM,CHP Merger Corp. Class A Common Stock,United States,,,NDQ
CHRS,Coherus BioSciences Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NDQ
CHRW,C.H. Robinson Worldwide Inc. Common Stock,United States,Transportation,Oil Refining/Marketing,NDQ
CHTR,Charter Communications Inc. Class A Common Stock New,United States,Consumer Services,Television Services,NDQ
CHUY,Chuy's Holdings Inc. Common Stock,United States,Consumer Services,Restaurants,NDQ
CHW,Calamos Global Dynamic Income Fund Common Stock,United States,Finance,Investment Managers,NDQ
CHX,ChampionX Corporation Common Stock ,United States,Capital Goods,Construction/Ag Equipment/Trucks,NDQ
CHY,Calamos Convertible and High Income Fund Common Stock,United States,Finance,Investment Managers,NDQ
CIFR,Cipher Mining Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service,NDQ
CIGI,Colliers International Group Inc. Subordinate Voting Shares,Canada,,,NDQ
CIIG,CIIG Capital Partners II Inc. Class A Common Stock,United States,,,NDQ
CINF,Cincinnati Financial Corporation Common Stock,United States,Finance,Property-Casualty Insurers,NDQ
CIVB,Civista Bancshares Inc. Common Stock,United States,Finance,Major Banks,NDQ
CKPT,Checkpoint Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CLAR,Clarus Corporation Common Stock,United States,Consumer Non-Durables,Recreational Products/Toys,NDQ
CLBK,Columbia Financial Inc. Common Stock,United States,Finance,Commercial Banks,NDQ
CLBT,Cellebrite DI Ltd. Ordinary Shares,Israel,,,NDQ
CLDX,Celldex Therapeutics Inc.,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NDQ
CLFD,Clearfield Inc. Common Stock,United States,Public Utilities,Telecommunications Equipment,NDQ
CLLS,Cellectis S.A. American Depositary Shares,France,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NDQ
CLMT,Calumet Specialty Products Partners L.P. Common Units,United States,Energy,Oil & Gas Production,NDQ
CLNE,Clean Energy Fuels Corp. Common Stock,United States,Public Utilities,Natural Gas Distribution,NDQ
CLNN,Clene Inc. Common Stock,United States,Consumer Durables,Specialty Chemicals,NDQ
CLOV,Clover Health Investments Corp. Class A Common Stock,United States,Health Care,Medical Specialities,NDQ
CLRM,Clarim Acquisition Corp. Class A Common Stock,United States,,,NDQ
CLSK,CleanSpark Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software,NDQ
CLVS,Clovis Oncology Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CMAX,CareMax Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software,NDQ
CMBM,Cambium Networks Corporation Ordinary Shares,Cayman Islands,Technology,Radio And Television Broadcasting And Communications Equipment,NDQ
CMCO,Columbus McKinnon Corporation Common Stock,United States,Capital Goods,Construction/Ag Equipment/Trucks,NDQ
CMCSA,Comcast Corporation Class A Common Stock,United States,Consumer Services,Television Services,NDQ
CME,CME Group Inc. Class A Common Stock,United States,Finance,Investment Bankers/Brokers/Service,NDQ
CMLT,CM Life Sciences III Inc. Class A Common Stock,United States,,,NDQ
CMPR,Cimpress plc Ordinary Shares (Ireland),Netherlands,Consumer Services,Recreational Products/Toys,NDQ
CMPS,COMPASS Pathways Plc American Depository Shares,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CMPX,Compass Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CMRX,Chimerix Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CMTL,Comtech Telecommunications Corp. Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment,NDQ
CNDT,Conduent Incorporated Common Stock ,United States,Technology,Retail: Computer Software & Peripheral Equipment,NDQ
CNOB,ConnectOne Bancorp Inc. Common Stock,United States,Finance,Major Banks,NDQ
CNSL,Consolidated Communications Holdings Inc. Common Stock,United States,Public Utilities,Telecommunications Equipment,NDQ
CNTA,Centessa Pharmaceuticals plc American Depositary Shares,United Kingdom,,,NDQ
CNTB,Connect Biopharma Holdings Limited American Depositary Shares,China,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
CNTY,Century Casinos Inc. Common Stock,United States,Consumer Services,Hotels/Resorts,NDQ
CNXC,Concentrix Corporation Common Stock,United States,Technology,Computer Software: Prepackaged Software,NDQ
CNXN,PC Connection Inc. Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment,NDQ
COCO,The Vita Coco Company Inc. Common Stock,United States,Consumer Non-Durables,Beverages (Production/Distribution),NDQ
COGT,Cogent Biosciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
COHR,Coherent Inc. Common Stock,United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NDQ
COHU,Cohu Inc. Common Stock,United States,Capital Goods,Electrical Products,NDQ
COIN,Coinbase Global Inc. Class A Common Stock,United States,Technology,EDP Services,NDQ
COKE,Coca-Cola Consolidated Inc. Common Stock,United States,Consumer Non-Durables,Beverages (Production/Distribution),NDQ
COLB,Columbia Banking System Inc. Common Stock,United States,Finance,Major Banks,NDQ
COLI,Colicity Inc. Class A Common Stock,United States,,,NDQ
COLL,Collegium Pharmaceutical Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
COLM,Columbia Sportswear Company Common Stock,United States,Consumer Non-Durables,Apparel,NDQ
