symbol,name,country,sector,industry,exchange
GLUE,Monte Rosa Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
GMAB,Genmab A/S ADS,Denmark,Health Care,Biotechnology: Commercial Physical & Biological Resarch,NDQ
GMBT,Queen's Gambit Growth Capital Class A Ordinary Share,United States,Finance,Business Services,NDQ
GMII,Gores Metropoulos II Inc. Class A Common Stock,United States,,,NDQ
GNOG,Golden Nugget Online Gaming Inc. Class A Common Stock,United States,Consumer Services,Services-Misc. Amusement & Recreation,NDQ
GNTX,Gentex Corporation Common Stock,United States,Capital Goods,Auto Parts:O.E.M.,NDQ
GNTY,Guaranty Bancshares Inc. Common Stock,United States,Finance,Major Banks,NDQ
GO,Grocery Outlet Holding Corp. Common Stock,United States,Consumer Non-Durables,Specialty Foods,NDQ
GOBI,Gobi Acquisition Corp. Class A Ordinary Shares,China,,,NDQ
GOCO,GoHealth Inc. Class A Common Stock,United States,Finance,Specialty Insurers,NDQ
GOEV,Canoo Inc. Class A Common Stock,United States,,,NDQ
GOGL,Golden Ocean Group Limited Common Stock,Bermuda,Transportation,Marine Transportation,NDQ
GOGO,Gogo Inc. Common Stock,United States,Consumer Services,Telecommunications Equipment,NDQ
GOOD,Gladstone Commercial Corporation Real Estate Investment Trust,United States,Consumer Services,Real Estate Investment Trusts,NDQ
GOOG,Alphabet Inc. Class C Capital Stock,United States,Technology,Internet and Information Services,NDQ
GOOGL,Alphabet Inc. Class A Common Stock,United States,Technology,Internet and Information Services,NDQ
GOSS,Gossamer Bio Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
GP,GreenPower Motor Company Inc. Common Shares,Canada,Capital Goods,Auto Parts:O.E.M.,NDQ
GPAC,Global Partner Acquisition Corp II Class A Ordinary Share,United States,Finance,Business Services,NDQ
GPP,Green Plains Partners LP Common Units,United States,,,NDQ
GPRE,Green Plains Inc. Common Stock,United States,Basic Industries,Major Chemicals,NDQ
GPRO,GoPro Inc. Class A Common Stock,United States,Miscellaneous,Industrial Machinery/Components,NDQ
GRBK,Green Brick Partners Inc. Common Stock,United States,Capital Goods,Homebuilding,NDQ
GRCL,Gracell Biotechnologies Inc. American Depositary Shares,China,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
GREE,Greenidge Generation Holdings Inc. Class A Common Stock,United States,Finance,Investment Bankers/Brokers/Service,NDQ
GRFS,Grifols S.A. American Depositary Shares,Spain,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
GRMN,Garmin Ltd. Common Stock (Switzerland),Switzerland,Capital Goods,Industrial Machinery/Components,NDQ
GRPH,Graphite Bio Inc. Common Stock,United States,Consumer Durables,Specialty Chemicals,NDQ
GRPN,Groupon Inc. Common Stock,United States,Technology,Advertising,NDQ
GRTS,Gritstone bio Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NDQ
GRUB,Just Eat Takeaway.com N.V. American Depositary Shares,Netherlands,,,NDQ
GRVY,GRAVITY Co. Ltd. American Depository Shares,South Korea,,,NDQ
GRWG,GrowGeneration Corp. Common Stock,United States,Consumer Services,Other Specialty Stores,NDQ
GSAQ,Global Synergy Acquisition Corp. Class A Ordinary Shares,United States,Finance,Business Services,NDQ
GSBC,Great Southern Bancorp Inc. Common Stock,United States,Finance,Major Banks,NDQ
GSEV,Gores Holdings VII Inc. Class A Common Stock,United States,,,NDQ
GSHD,Goosehead Insurance Inc. Class A Common Stock,United States,Finance,Specialty Insurers,NDQ
GSKY,GreenSky Inc. Class A Common Stock,United States,Technology,EDP Services,NDQ
GSM,Ferroglobe PLC Ordinary Shares,United Kingdom,Basic Industries,Precious Metals,NDQ
GT,The Goodyear Tire & Rubber Company Common Stock,United States,Consumer Durables,Automotive Aftermarket,NDQ
GTH,Genetron Holdings Limited ADS,China,Health Care,Medical Specialities,NDQ
GTHX,G1 Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
GTLB,GitLab Inc. Class A Common Stock,United States,Technology,EDP Services,NDQ
GTPA,Gores Technology Partners Inc. Class A Common Stock,United States,,,NDQ
GTPB,Gores Technology Partners II Inc. Class A Common Stock,United States,,,NDQ
GTX,Garrett Motion Inc. Common Stock,Switzerland,Capital Goods,Auto Parts:O.E.M.,NDQ
GTYH,GTY Technology Holdings Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software,NDQ
GWRS,Global Water Resources Inc. Common Stock,United States,Public Utilities,Water Supply,NDQ
GXII,GX Acquisition Corp. II Class A Common Stock,United States,,,NDQ
HA,Hawaiian Holdings Inc. Common Stock,United States,Transportation,Air Freight/Delivery Services,NDQ
HAAC,Health Assurance Acquisition Corp. Class A Common Stock,United States,,,NDQ
HAFC,Hanmi Financial Corporation Common Stock,United States,Finance,Major Banks,NDQ
HAIN,Hain Celestial Group Inc. (The) Common Stock,United States,Capital Goods,Office Equipment/Supplies/Services,NDQ
HALO,Halozyme Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NDQ
HAS,Hasbro Inc. Common Stock,United States,Consumer Non-Durables,Recreational Products/Toys,NDQ
HAYN,Haynes International Inc. Common Stock,United States,,,NDQ
HBAN,Huntington Bancshares Incorporated Common Stock,United States,Finance,Major Banks,NDQ
HBCP,Home Bancorp Inc. Common Stock,United States,Finance,Banks,NDQ
HBIO,Harvard Bioscience Inc. Common Stock,United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NDQ
HBMD,Howard Bancorp Inc. Common Stock,United States,Finance,Major Banks,NDQ
HBNC,Horizon Bancorp Inc. Common Stock,United States,Finance,Major Banks,NDQ
HBT,HBT Financial Inc. Common Stock,United States,Finance,Commercial Banks,NDQ
HCAR,Healthcare Services Acquisition Corporation Class A Common Stock,United States,,,NDQ
HCAT,Health Catalyst Inc Common Stock,United States,Health Care,Managed Health Care,NDQ
HCCC,Healthcare Capital Corp. Class A common stock,United States,,,NDQ
HCCI,Heritage-Crystal Clean Inc. Common Stock,United States,Public Utilities,Water Supply,NDQ
HCIC,Hennessy Capital Investment Corp. V Class A Common Stock,United States,,,NDQ
HCII,Hudson Executive Investment Corp. II Class A Common Stock,United States,,,NDQ
HCKT,Hackett Group Inc (The). Common Stock,United States,Technology,Retail: Computer Software & Peripheral Equipment,NDQ
HCM,HUTCHMED (China) Limited American Depositary Shares,Hong Kong,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
HCNE,Jaws Hurricane Acquisition Corp. Class A Common Stock,United States,,,NDQ
HCSG,Healthcare Services Group Inc. Common Stock,United States,Health Care,Assisted Living Services,NDQ
HEAR,Turtle Beach Corporation Common Stock,United States,Consumer Non-Durables,Consumer Electronics/Appliances,NDQ
HEES,H&E Equipment Services Inc. Common Stock,United States,Technology,Engineering & Construction,NDQ
HELE,Helen of Troy Limited Common Stock,Bermuda,Miscellaneous,Other Consumer Services,NDQ
HEPS,D-Market Electronic Services & Trading American Depositary Shares,Turkey,,,NDQ
HERA,FTAC Hera Acquisition Corp. Class A Ordinary Shares,United States,,,NDQ
HEXO,HEXO Corp. Common Shares,Canada,,,NDQ
HFFG,HF Foods Group Inc. Common Stock,United States,Consumer Non-Durables,Food Distributors,NDQ
HFWA,Heritage Financial Corporation Common Stock,United States,Finance,Banks,NDQ
HGEN,Humanigen Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
HHR,HeadHunter Group PLC American Depositary Shares,Cyprus,Technology,Professional Services,NDQ
HIBB,Hibbett Inc. Common Stock,United States,Consumer Services,Other Specialty Stores,NDQ
HIFS,Hingham Institution for Savings Common Stock,United States,Finance,Major Banks,NDQ
HIII,Hudson Executive Investment Corp. III Class A Common Stock,United States,,,NDQ
HIMX,Himax Technologies Inc. American Depositary Shares,Taiwan,Technology,Semiconductors,NDQ
HITI,High Tide Inc. Common Shares,Canada,,,NDQ
HIVE,Hive Blockchain Technologies Ltd. Common Shares,Canada,,,NDQ
HLAH,Hamilton Lane Alliance Holdings I Inc. Class A Common Stock,United States,,,NDQ
HLBZ,Helbiz Inc. Class A Common stock,United States,Consumer Services,Other Specialty Stores,NDQ
HLG,Hailiang Education Group Inc. American Depositary Shares,China,Consumer Services,Other Consumer Services,NDQ
HLIT,Harmonic Inc. Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment,NDQ
HLMN,Hillman Solutions Corp. Common Stock,United States,Capital Goods,Industrial Specialties,NDQ
HLNE,Hamilton Lane Incorporated Class A Common Stock,United States,Finance,Investment Managers,NDQ
HLTH,Cue Health Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software,NDQ
HMCO,HumanCo Acquisition Corp. Class A Common Stock,United States,,,NDQ
HMHC,Houghton Mifflin Harcourt Company Common Stock,United States,Miscellaneous,Service to the Health Industry,NDQ
HMPT,Home Point Capital Inc Common Stock,United States,Finance,Finance: Consumer Services,NDQ
HMST,HomeStreet Inc. Common Stock,United States,Finance,Banks,NDQ
HMTV,Hemisphere Media Group Inc. Class A Common Stock,United States,Consumer Services,Television Services,NDQ
HNST,The Honest Company Inc. Common Stock,United States,Consumer Non-Durables,Department/Specialty Retail Stores,NDQ
HOFT,Hooker Furnishings Corporation Common Stock,United States,Consumer Durables,Home Furnishings,NDQ
HOLI,Hollysys Automation Technologies Ltd. Common Shares (British Virgin Islands),China,Consumer Durables,Electrical Products,NDQ
HOLX,Hologic Inc. Common Stock,United States,Health Care,Medical Electronics,NDQ
HOMB,Home BancShares Inc. Common Stock,United States,Finance,Major Banks,NDQ
HON,Honeywell International Inc. Common Stock,United States,,,NDQ
HONE,HarborOne Bancorp Inc. Common Stock,United States,Finance,Major Banks,NDQ
HOOD,Robinhood Markets Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software,NDQ
HOPE,Hope Bancorp Inc. Common Stock,United States,Finance,Major Banks,NDQ
HOWL,Werewolf Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
HPK,HighPeak Energy Inc. Common Stock,United States,Energy,Oil & Gas Production,NDQ
HQI,HireQuest Inc. Common Stock (DE),United States,Technology,Diversified Commercial Services,NDQ
HQY,HealthEquity Inc. Common Stock,United States,Health Care,Managed Health Care,NDQ
HRMY,Harmony Biosciences Holdings Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
HRTX,Heron Therapeutics Inc. Common Stock,United States,Consumer Durables,Specialty Chemicals,NDQ
HRZN,Horizon Technology Finance Corporation Common Stock,United States,Finance,Finance/Investors Services,NDQ
HSIC,Henry Schein Inc. Common Stock,United States,Health Care,Medical Specialities,NDQ
HSII,Heidrick & Struggles International Inc. Common Stock,United States,Technology,Diversified Commercial Services,NDQ
HSKA,Heska Corporation Common Stock,United States,,,NDQ
HST,Host Hotels & Resorts Inc. Common Stock,United States,Consumer Services,Real Estate Investment Trusts,NDQ
HSTM,HealthStream Inc. Common Stock,United States,Miscellaneous,Business Services,NDQ
HTBI,HomeTrust Bancshares Inc. Common Stock,United States,Finance,Savings Institutions,NDQ
HTBK,Heritage Commerce Corp Common Stock,United States,Finance,Major Banks,NDQ
HTHT,Huazhu Group Limited American Depositary Shares,China,Consumer Services,Hotels/Resorts,NDQ
HTLD,Heartland Express Inc. Common Stock,United States,Transportation,Trucking Freight/Courier Services,NDQ
HTLF,Heartland Financial USA Inc. Common Stock,United States,Finance,Major Banks,NDQ
HTZ,Hertz Global Holdings Inc Common Stock,United States,Miscellaneous,Rental/Leasing Companies,NDQ
HUBG,Hub Group Inc. Class A Common Stock,United States,Transportation,Oil Refining/Marketing,NDQ
HUMA,Humacyte Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
HURN,Huron Consulting Group Inc. Common Stock,United States,Consumer Services,Professional Services,NDQ
HUT,Hut 8 Mining Corp. Common Shares,Canada,,,NDQ
